Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
No Guns Life,ノー・ガンズ・ライフ,12,Manga,PG-13 - Teens 13 or older,Fall 2019,TV,"Madhouse,             Egg Firm",6.87,55000 ,Ranked #4231,Popularity #1051,157886,https://myanimelist.net/anime/39539/No_Guns_Life,Action;Sci-Fi;Drama;Seinen,Madhouse
-,ノーゲーム・ノーライフ ミニ,6,Light novel,PG-13 - Teens 13 or older,-,Special,Madhouse,6.75,75484 ,Ranked #4774,Popularity #1081,152700,https://myanimelist.net/anime/24991/No_Game_No_Life_Specials,Ecchi;Fantasy;Game,Madhouse
Prince of Stride: Alternative,プリンス・オブ・ストライド　オルタナティブ,12,Visual novel,PG-13 - Teens 13 or older,Winter 2016,TV,Madhouse,6.91,66913 ,Ranked #4066,Popularity #1084,153145,https://myanimelist.net/anime/31559/Prince_of_Stride__Alternative,Sports;Drama;School,Madhouse
Kaiji: Against All Rules,逆境無頼カイジ 破戒録篇,26,Manga,R - 17+ (violence & profanity),Spring 2011,TV,Madhouse,8.25,81932 ,Ranked #260,Popularity #1096,151695,https://myanimelist.net/anime/10271/Gyakkyou_Burai_Kaiji__Hakairoku-hen,Game;Psychological;Thriller;Seinen,Madhouse
-,劇場版 HUNTER×HUNTER 緋色の幻影（ファントム・ルージュ）,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.25,85398 ,Ranked #2610,Popularity #1132,146277,https://myanimelist.net/anime/13271/Hunter_x_Hunter_Movie_1__Phantom_Rouge,Action;Adventure;Fantasy;Shounen;Super Power,Madhouse
Kobato.,こばと。,24,Manga,PG-13 - Teens 13 or older,Fall 2009,TV,Madhouse,7.97,51460 ,Ranked #591,Popularity #1133,145974,https://myanimelist.net/anime/5678/Kobato,Comedy;Drama;Fantasy;Romance,Madhouse
Casshern Sins,キャシャーン SINS,24,Other,R - 17+ (violence & profanity),Fall 2008,TV,"Madhouse,             Tatsunoko Production",7.52,46100 ,Ranked #1549,Popularity #1182,139788,https://myanimelist.net/anime/4981/Casshern_Sins,Action;Adventure;Drama;Psychological;Sci-Fi,Madhouse
Millennium Actress,千年女優,1,Original,PG-13 - Teens 13 or older,-,Movie,Madhouse,8.26,63174 ,Ranked #254,Popularity #1190,138769,https://myanimelist.net/anime/1033/Sennen_Joyuu,Action;Adventure;Drama;Fantasy;Historical;Romance,Madhouse
Vampire Hunter D: Bloodlust,バンパイアハンターD,1,Light novel,R - 17+ (violence & profanity),-,Movie,Madhouse,7.89,72531 ,Ranked #709,Popularity #1202,136624,https://myanimelist.net/anime/543/Vampire_Hunter_D_2000,Action;Sci-Fi;Horror;Drama;Romance;Vampire;Fantasy,Madhouse
ACCA: 13-Territory Inspection Dept.,ACCA 13区監察課,12,Manga,PG-13 - Teens 13 or older,Winter 2017,TV,Madhouse,7.67,54975 ,Ranked #1111,Popularity #1252,131936,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka,Mystery;Police;Drama;Fantasy;Seinen,Madhouse
