Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
ItaKiss,イタズラなKiss,25,Manga,PG-13 - Teens 13 or older,Spring 2008,TV,TMS Entertainment,7.49,125166 ,Ranked #1640,Popularity #680,243943,https://myanimelist.net/anime/3731/Itazura_na_Kiss,Shoujo
Skip Beat!,スキップ・ビート！,25,Manga,PG-13 - Teens 13 or older,Fall 2008,TV,Hal Film Maker,8.11,121235 ,Ranked #413,Popularity #722,232037,https://myanimelist.net/anime/4722/Skip_Beat,Shoujo
-,フルーツバスケット The Final,13,Manga,PG-13 - Teens 13 or older,Spring 2021,TV,TMS Entertainment,9.10,80072 ,Ranked #4,Popularity #759,218706,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,Shoujo
School Babysitters,学園ベビーシッターズ,12,Manga,PG-13 - Teens 13 or older,Winter 2018,TV,Brain's Base,7.87,104509 ,Ranked #726,Popularity #781,217318,https://myanimelist.net/anime/35222/Gakuen_Babysitters,Shoujo
Natsume's Book of Friends Season 3,夏目友人帳 参,13,Manga,PG-13 - Teens 13 or older,Summer 2011,TV,Brain's Base,8.59,98934 ,Ranked #70,Popularity #786,213172,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,Shoujo
Natsume's Book of Friends Season 2,続 夏目友人帳,13,Manga,PG-13 - Teens 13 or older,Winter 2009,TV,Brain's Base,8.56,106589 ,Ranked #85,Popularity #793,211674,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,Shoujo
-,僕等がいた,26,Manga,PG-13 - Teens 13 or older,Summer 2006,TV,Artland,7.29,86929 ,Ranked #2399,Popularity #811,206121,https://myanimelist.net/anime/1222/Bokura_ga_Ita,Shoujo
Natsume's Book of Friends Season 4,夏目友人帳 肆,13,Manga,PG-13 - Teens 13 or older,Winter 2012,TV,Brain's Base,8.66,90503 ,Ranked #54,Popularity #813,205762,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,Shoujo
Ghost Hunt,ゴーストハント,25,Light novel,PG-13 - Teens 13 or older,Fall 2006,TV,J.C.Staff,7.79,87649 ,Ranked #859,Popularity #822,203112,https://myanimelist.net/anime/1571/Ghost_Hunt,Shoujo
Shugo Chara!,しゅごキャラ！,51,Manga,PG - Children,Fall 2007,TV,Satelight,7.41,86996 ,Ranked #1916,Popularity #881,191919,https://myanimelist.net/anime/2923/Shugo_Chara,Shoujo
Rainbow Days,虹色デイズ,24,Manga,PG-13 - Teens 13 or older,Winter 2016,TV,Production Reed,7.31,77270 ,Ranked #2336,Popularity #904,187707,https://myanimelist.net/anime/31414/Nijiiro_Days,Shoujo
His and Her Circumstances,彼氏彼女の事情,26,Manga,PG-13 - Teens 13 or older,Fall 1998,TV,"Gainax,             J.C.Staff",7.60,65024 ,Ranked #1307,Popularity #917,182629,https://myanimelist.net/anime/145/Kareshi_Kanojo_no_Jijou,Shoujo
Children of the Whales,クジラの子らは砂上に歌う,12,Manga,PG-13 - Teens 13 or older,Fall 2017,TV,J.C.Staff,7.19,80566 ,Ranked #2884,Popularity #919,183182,https://myanimelist.net/anime/34712/Kujira_no_Kora_wa_Sajou_ni_Utau,Shoujo
La storia della Arcana Famiglia,アルカナ・ファミリア －La storia della Arcana Famiglia－,12,Visual novel,PG-13 - Teens 13 or older,Summer 2012,TV,J.C.Staff,6.27,83690 ,Ranked #7178,Popularity #924,180858,https://myanimelist.net/anime/12967/Arcana_Famiglia,Shoujo
Uta no Prince Sama,うたの☆プリンスさまっ♪ マジLOVE1000%,13,Visual novel,PG-13 - Teens 13 or older,Summer 2011,TV,A-1 Pictures,7.07,84993 ,Ranked #3430,Popularity #941,176320,https://myanimelist.net/anime/10321/Uta_no☆Prince-sama♪__Maji_Love_1000,Shoujo
D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,26,Manga,PG-13 - Teens 13 or older,Spring 2003,TV,Xebec,7.19,88470 ,Ranked #2866,Popularity #964,171825,https://myanimelist.net/anime/61/DNAngel,Shoujo
Revolutionary Girl Utena,少女革命ウテナ,39,Original,PG-13 - Teens 13 or older,Spring 1997,TV,J.C.Staff,8.19,46506 ,Ranked #331,Popularity #977,169719,https://myanimelist.net/anime/440/Shoujo_Kakumei_Utena,Shoujo
Brothers Conflict,BROTHERS CONFLICT,12,Novel,PG-13 - Teens 13 or older,Summer 2013,TV,Brain's Base,6.06,80381 ,Ranked #8229,Popularity #1069,155073,https://myanimelist.net/anime/15605/Brothers_Conflict,Shoujo
