Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
-,地獄先生ぬ～べ～,49,Manga,PG-13 - Teens 13 or older,Spring 1996,TV,Toei Animation,7.54,4727 ,Ranked #1491,Popularity #4255,16271,https://myanimelist.net/anime/2012/Jigoku_Sensei_Nube,Horror
Yamishibai: Japanese Ghost Stories 6,闇芝居 6期,13,Original,PG-13 - Teens 13 or older,Summer 2018,TV,ILCA,6.15,6956 ,Ranked #7837,Popularity #4320,15861,https://myanimelist.net/anime/37893/Yami_Shibai_6,Horror
-,羊のうた,4,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.20,5918 ,Ranked #7563,Popularity #4333,15507,https://myanimelist.net/anime/258/Hitsuji_no_Uta,Horror
-,『BLOOD-C』特別編集ver,2,Unknown,R - 17+ (violence & profanity),-,Special,Production I.G,6.73,3737 ,Ranked #4849,Popularity #4334,15483,https://myanimelist.net/anime/14117/Blood-C__Special_Edition,Horror
The Island of Giant Insects Movie,劇場版 巨蟲列島,1,Manga,R+ - Mild Nudity,-,Movie,Passione,4.59,6998 ,Ranked #11443,Popularity #4365,15310,https://myanimelist.net/anime/40332/Kyochuu_Rettou_Movie,Horror
-,ハイランダー,1,Unknown,R - 17+ (violence & profanity),-,Movie,Madhouse,6.74,7610 ,Ranked #4832,Popularity #4382,15033,https://myanimelist.net/anime/2178/Highlander__The_Search_for_Vengeance,Horror
-,アークザラッド,26,Game,R - 17+ (violence & profanity),Spring 1999,TV,Bee Train,6.52,5055 ,Ranked #5922,Popularity #4431,14536,https://myanimelist.net/anime/55/Arc_the_Lad,Horror
-,怪談レストラン,23,Picture book,PG - Children,Fall 2009,TV,Toei Animation,7.27,4088 ,Ranked #2511,Popularity #4467,14256,https://myanimelist.net/anime/6980/Kaidan_Restaurant,Horror
Yamishibai: Japanese Ghost Stories 7,闇芝居 7期,13,Original,PG-13 - Teens 13 or older,Summer 2019,TV,"ILCA,             DRAWIZ",5.95,5844 ,Ranked #8704,Popularity #4486,14313,https://myanimelist.net/anime/39836/Yami_Shibai_7,Horror
"Corpse Princess: Kuro - Even So, As a Person",屍姫 玄 それでも、人として,1,Manga,R - 17+ (violence & profanity),-,Special,Gainax,6.99,5513 ,Ranked #3763,Popularity #4516,13887,https://myanimelist.net/anime/6344/Shikabane_Hime__Kuro_–_Soredemo_Hito_to_Shite,Horror
AD Police Files,ADポリス,3,Original,R+ - Mild Nudity,-,OVA,"AIC,             Artmic",6.27,5206 ,Ranked #7175,Popularity #4543,13754,https://myanimelist.net/anime/1346/AD_Police,Horror
The Island of Giant Insects,巨蟲列島,1,Manga,R+ - Mild Nudity,-,OVA,Passione,4.43,5383 ,Ranked #11496,Popularity #4563,13707,https://myanimelist.net/anime/38915/Kyochuu_Rettou,Horror
-,忍者コレクション,13,Original,PG-13 - Teens 13 or older,Summer 2020,TV,"ILCA,             DRAWIZ,             Toho Interactive Animation",3.83,2774 ,Ranked #11576,Popularity #4576,13578,https://myanimelist.net/anime/42260/Ninja_Collection,Horror
Berserk: Recollections of the Witch,ベルセルク 魔女の追想,1,Manga,R - 17+ (violence & profanity),-,Special,"Millepensee,             GEMBA",5.81,5981 ,Ranked #9119,Popularity #4632,13079,https://myanimelist.net/anime/35676/Berserk__Majo_no_Tsuisou,Horror
3x3 Eyes: Legend of the Divine Demon,3×3 EYES聖魔伝説,3,Manga,R - 17+ (violence & profanity),-,OVA,Studio Junio,6.95,6515 ,Ranked #3887,Popularity #4651,12848,https://myanimelist.net/anime/1225/3x3_Eyes__Seima_Densetsu,Horror
-,ベターマン,26,Original,R - 17+ (violence & profanity),Spring 1999,TV,Sunrise,6.59,3346 ,Ranked #5533,Popularity #4684,12584,https://myanimelist.net/anime/1136/Betterman,Horror
